,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
105,Alec Burks,SG,32,DET,43,0,21.0,3.7,9.4,.394,2.3,5.7,.401,1.4,3.7,.384,.516,2.8,3.1,.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6
106,Alec Burks,SG,32,NYK,2,0,19.5,4.0,11.0,.364,2.5,6.0,.417,1.5,5.0,.300,.477,3.0,3.0,1.000,0.5,1.0,1.5,1.5,0.0,0.0,2.0,1.0,13.5
107,Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,.560,0.6,1.4,.417,1.1,1.5,.692,.660,0.7,0.9,.800,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6
108,Jimmy Butler,PF,34,MIA,37,37,33.9,6.7,13.4,.500,1.0,2.3,.440,5.7,11.1,.512,.537,7.0,8.1,.869,2.0,3.4,5.5,4.6,1.3,0.3,1.7,1.1,21.4
109,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
110,Kentavious Caldwell-Pope,SG,30,DEN,50,50,31.9,3.5,7.9,.443,1.4,3.8,.379,2.0,4.1,.502,.534,1.6,1.8,.921,0.4,1.9,2.3,2.3,1.3,0.5,1.0,1.9,10.0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Toumani Camara,PF,23,POR,51,31,23.8,2.5,6.0,.420,0.7,2.5,.291,1.8,3.5,.511,.480,1.0,1.4,.718,1.8,2.9,4.8,1.0,1.0,0.5,1.2,2.5,6.8
113,Clint Capela,C,29,ATL,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
114,Jevon Carter,PG,28,CHI,51,0,13.8,2.0,5.4,.374,1.2,3.5,.341,0.8,1.9,.433,.484,0.1,0.1,.600,0.1,0.6,0.7,1.2,0.5,0.2,0.5,1.1,5.2
